timestamp,playback_time,step_index,demo_name,actual_joint_pos_1,actual_joint_pos_2,actual_joint_pos_3,actual_joint_pos_4,actual_joint_pos_5,actual_joint_pos_6,actual_joint_pos_7,actual_eef_pos_x,actual_eef_pos_y,actual_eef_pos_z,actual_eef_quat_x,actual_eef_quat_y,actual_eef_quat_z,actual_eef_quat_w,actual_gripper_width,actual_gripper_pos_1,actual_gripper_pos_2
1752067116.919344,0.05076742172241211,0,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5026100700308243,-0.008716753131779125,0.39552472916685166,0.9994329626541839,-0.014776334332092586,0.029865619382532762,-0.004317815753947145,0.07952035963535309,0.039760179817676544,0.039760179817676544
1752067116.9705882,0.10201168060302734,1,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5031856299376485,-0.008978657545957685,0.396224114353531,0.9994057108496847,-0.01489536698426439,0.030726346942131746,-0.004174973048426334,0.07952035963535309,0.039760179817676544,0.039760179817676544
1752067117.0212333,0.15265679359436035,2,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5051988219575979,-0.00989875969211869,0.3987296361740641,0.999312586409476,-0.015444013735195506,0.03341042693382522,-0.0038426563654544014,0.07952035963535309,0.039760179817676544,0.039760179817676544
1752067117.0721767,0.20360016822814941,3,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085743443045886,-0.01136567217360385,0.40243696478892715,0.9991651736222251,-0.01656653660064506,0.037091594367187564,-0.00372889953438131,0.07952035963535309,0.039760179817676544,0.039760179817676544
1752067117.1227574,0.254180908203125,4,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5126970192298934,-0.013090357795483086,0.4060148028654141,0.9990027170004383,-0.017709243690505395,0.0407677388773436,-0.003623640442872513,0.07952102273702621,0.03976051136851311,0.03976051136851311
1752067117.1731584,0.304581880569458,5,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5170908071506917,-0.014795409318461338,0.4096824030552466,0.9988828250706148,-0.01670855250012543,0.044009896412784376,-0.003498631932414797,0.07952102273702621,0.03976051136851311,0.03976051136851311
1752067117.2237337,0.35515713691711426,6,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5216037756415449,-0.01639849525930745,0.41301234971734757,0.9987688192731033,-0.015191562191975799,0.04704902620754575,-0.0034112765145212685,0.07952102273702621,0.03976051136851311,0.03976051136851311
1752067117.2744877,0.4059112071990967,7,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258752357054127,-0.017786577784149396,0.415995930324235,0.9986824932556572,-0.01392401671606657,0.049227737300911255,-0.0033488908401937234,0.07952102273702621,0.03976051136851311,0.03976051136851311
1752067117.3249075,0.4563310146331787,8,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5299077556970343,-0.01887494696496732,0.4186585079191257,0.9985986438782779,-0.013290246907948606,0.05107410157767541,-0.0032771602325458614,0.07952035963535309,0.039760179817676544,0.039760179817676544
1752067117.3757398,0.5071632862091064,9,demo_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5335859383268077,-0.01964661155512141,0.4208576275863239,0.9985284647418101,-0.013077806873180343,0.052488048404858365,-0.0031728093055022623,0.07952035963535309,0.039760179817676544,0.039760179817676544
