timestamp,joint_positions,joint_velocities,eef_position,eef_orientation,gripper_action,gripper_goal_state
1750851648.1799433,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.46260488,0.22634558,0.26704738","0.9998416,-0.009507291,-0.009388533,0.011552786",1.0,open
1750851648.2297876,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.4564217,0.22447751,0.2529251","0.999871,-0.0076777316,-0.00818892,0.011273498",1.0,open
1750851648.2799644,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.449074,0.22090092,0.23855652","0.99984246,-0.0054726554,-0.0098780235,0.013517667",1.0,open
1750851648.329927,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.44155863,0.21618132,0.22469324","0.99975336,-0.0022071318,-0.012636602,0.017995993",1.0,open
1750851648.3803966,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.43462294,0.21168397,0.2115885","0.9996384,0.0015472358,-0.014697598,0.022359164",1.0,open
1750851648.4302495,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.42991734,0.20874439,0.19990572","0.9996065,0.004670509,-0.012654878,0.024497934",1.0,open
1750851648.479927,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.42699838,0.20737292,0.18912913","0.9996778,0.004351708,-0.0075847497,0.023729185",1.0,open
1750851648.5304177,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.42449462,0.20715295,0.17846388","0.9997862,0.0007891577,-0.002319188,0.020413747",1.0,open
1750851648.5802112,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.4216274,0.2073124,0.16724113","0.99986017,-0.00329946,0.0013158311,0.01619283",1.0,open
1750851648.6304722,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41844615,0.2071264,0.1557158","0.99990076,-0.00474597,0.0032587815,0.012669143",1.0,open
1750851648.6798477,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41558787,0.20691982,0.14474466","0.9999361,-0.0041794037,0.0044166963,0.009271898",1.0,open
1750851648.7298253,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41328752,0.20649186,0.1344636","0.99996,-0.0032479037,0.0051059513,0.006206202",1.0,open
1750851648.7798288,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41218024,0.20621513,0.12544529","0.99996704,-0.0038363775,0.006374167,0.0024048258",1.0,open
1750851648.8303437,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41157928,0.20604624,0.11722997","0.99995553,-0.0052402043,0.0072968598,-0.0018307827",1.0,open
1750851648.8798103,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41150385,0.20586161,0.10964545","0.9999284,-0.0066372007,0.007480364,-0.0061880876",1.0,open
1750851648.929802,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41156816,0.2057982,0.10259358","0.9998752,-0.009070925,0.006437752,-0.011003616",1.0,open
1750851648.9798331,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.41130757,0.20552231,0.095934965","0.9998022,-0.0114765605,0.004356749,-0.01549564",1.0,open
