timestamp,playback_time,step_index,ref_eef_pos_x,ref_eef_pos_y,ref_eef_pos_z,ref_eef_quat_x,ref_eef_quat_y,ref_eef_quat_z,ref_eef_quat_w,ref_gripper_state,actual_eef_pos_x,actual_eef_pos_y,actual_eef_pos_z,actual_eef_quat_x,actual_eef_quat_y,actual_eef_quat_z,actual_eef_quat_w,actual_gripper_width,pos_error_x,pos_error_y,pos_error_z,pos_error_norm,quat_error_x,quat_error_y,quat_error_z,quat_error_w,orientation_error_angle
1751555904.5670598,0.05004549026489258,0,0.39057484,0.0012779481,0.42818627,0.99991584,-0.0026567334,0.007884474,0.009706964,open,0.4603449802635306,0.04524163399079633,0.43817623481897283,0.9979797742431945,-0.04038389403542271,0.047141163826735825,0.013356676142384396,0.07953021675348282,0.06977014026353062,0.04396368589079633,0.009989964818972852,0.08306911307207786,-0.001936065756805494,-0.03772716063542271,0.03925668982673582,0.0036497121423843953,0.10921997275435354
1751555904.6179435,0.10092926025390625,1,0.3905716,0.0012860938,0.42819953,0.9999157,-0.0026450586,0.007902631,0.009709661,open,0.45985282304456987,0.04467514766508753,0.4378433914465189,0.9980059996813648,-0.04063839430158986,0.04621257019715846,0.01386082918154366,0.07953021675348282,0.06928122304456985,0.04338905386508753,0.009643861446518909,0.08231343708932679,-0.0019097003186351325,-0.03799333570158986,0.03830993919715846,0.0041511681815436605,0.10830983408286615
1751555904.6681051,0.1510908603668213,2,0.39056432,0.0012962735,0.42824975,0.99991524,-0.0026400664,0.007966994,0.009707686,open,0.4577975143759579,0.04242508556388779,0.4368329801093269,0.9981362884836464,-0.040749546689937674,0.04273004533381567,0.01525601396308001,0.07953021675348282,0.06723319437595787,0.04112881206388779,0.008583230109326934,0.07928148237067463,-0.001778951516353544,-0.03810948028993767,0.03476305133381567,0.00554832796308001,0.10383389054045954
1751555904.7185943,0.20158004760742188,3,0.3905602,0.0013730241,0.4282901,0.99991494,-0.0025756906,0.008028089,0.009704851,open,0.4545353798822349,0.03900886008464532,0.43574018599874986,0.9983548581270899,-0.039761710836258776,0.037935725320826376,0.016206277086317087,0.07953087240457535,0.06397517988223489,0.037635835984645316,0.007450085998749856,0.07459747698559385,-0.001560081872910124,-0.03718602023625878,0.029907636320826374,0.0065014260863170865,0.09638319080966802
1751555904.7691731,0.25215888023376465,4,0.39056638,0.0016790683,0.4282691,0.9999154,-0.0023212216,0.008018806,0.009731261,open,0.45039465425064973,0.03487422881931673,0.43483303559082076,0.9986661321258653,-0.036220278048450884,0.03275862388651303,0.016616285220719333,0.07953087240457535,0.05982827425064974,0.03319516051931673,0.006563935590820746,0.06873446247810923,-0.0012492678741347074,-0.033899056448450884,0.02473981788651303,0.0068850242207193334,0.08509878226724597
1751555904.8189435,0.301929235458374,5,0.3905652,0.0023087198,0.42822292,0.9999141,-0.0015980145,0.007967341,0.010047219,open,0.4458622284447827,0.030639051565376225,0.4340888216948998,0.9989976105457972,-0.030542642759268428,0.027964684709947004,0.016854664314029322,0.07953087240457535,0.05529702844478268,0.028330331765376224,0.005865901694899811,0.06240815536012596,-0.0009164894542028623,-0.028944628259268426,0.019997343709947005,0.006807445314029322,0.07169408096221598
1751555904.869592,0.35257768630981445,6,0.39056167,0.0033232418,0.4282519,0.99990994,-0.00042327814,0.008017126,0.010530308,open,0.44096057947300976,0.026315963604137127,0.43320939219903587,0.9992677062922383,-0.024643356584201272,0.023787755751752866,0.016913976136628307,0.07953087240457535,0.050398909473009734,0.022992721804137126,0.004957492199035851,0.05561737193480626,-0.0006422337077617302,-0.024220078444201272,0.015770629751752866,0.006383668136628306,0.059213406409760784
1751555904.9201355,0.4031212329864502,7,0.39055982,0.0048610377,0.42825434,0.9999012,0.0013421845,0.008052884,0.011231461,open,0.4360556352241957,0.022280301141811502,0.4323561586483706,0.9994541289012765,-0.019860074394716536,0.0202245495965134,0.01682777651451746,0.07953087240457535,0.04549581522419571,0.0174192634418115,0.004101818648370614,0.048888903219375966,-0.00044707109872355044,-0.021202258894716535,0.0121716655965134,0.005596315514517459,0.05016930787660384
1751555904.9705737,0.45355939865112305,8,0.3906745,0.00699454,0.42844585,0.99988455,0.0035803642,0.008321056,0.012001572,open,0.43143931693764714,0.018880158329253702,0.4317318307216622,0.9995687077001886,-0.01653638913842576,0.017418681320162274,0.016754741021252427,0.07953087240457535,0.040764816937647164,0.011885618329253701,0.003285980721662196,0.04258915228472753,-0.00031584229981140854,-0.02011675333842576,0.009097625320162273,0.004753169021252427,0.04517375619301569
1751555905.0210435,0.5040292739868164,9,0.3909873,0.00963442,0.42901868,0.99984795,0.006409666,0.009160759,0.013198824,open,0.42702301349731187,0.016088980982875017,0.43096657718160114,0.999646610446982,-0.01387185235736464,0.01509005196256732,0.016783981680829143,0.07953087240457535,0.03603571349731188,0.006454560982875017,0.0019478971816011548,0.0366609916419631,-0.00020133955301804285,-0.02028151835736464,0.00592929296256732,0.0035851576808291433,0.04286771308076734
1751555905.071433,0.5544188022613525,10,0.39140874,0.012825754,0.43000132,0.9997828,0.00991215,0.010302298,0.015003388,open,0.42303024222392405,0.014072362188275163,0.4304756886639467,0.9996962774876708,-0.01204289679352524,0.013049420048347563,0.016947567794347095,0.07953087240457535,0.03162150222392407,0.0012466081882751626,0.0004743686639466782,0.031649620226821745,-8.652251232921238e-05,-0.021955046793525237,0.002747122048347563,0.0019441797943470958,0.04442435155045924
1751555905.1215637,0.6045494079589844,11,0.3919228,0.016718164,0.43130726,0.9996771,0.014159295,0.011780498,0.017364271,open,0.4194055135654571,0.012758652311416629,0.430118093649565,0.9997276606412798,-0.010788941878322173,0.011193790011851354,0.017265239314386047,0.07953087240457535,0.027482713565457062,-0.0039595116885833715,-0.0011891663504350336,0.027791930381713195,5.0560641279839835e-05,-0.024948236878322174,-0.0005867079881486468,-9.903168561395392e-05,0.04991218148293645
1751555905.171851,0.6548366546630859,12,0.39231244,0.021713188,0.43248132,0.9995231,0.019447735,0.013138756,0.01994652,open,0.41626773948356166,0.012118858151511801,0.4298369030235325,0.9997485251034668,-0.009335914552946113,0.009703154656838462,0.017797817984399486,0.07953087240457535,0.023955299483561676,-0.0095943298484882,-0.0026444169764675007,0.025940325359065014,0.000225425103466792,-0.028783649552946114,-0.0034356013431615373,-0.002148702015600513,0.05813890849723206
1751555905.2221637,0.7051494121551514,13,0.39237335,0.029366653,0.4333861,0.9992663,0.0269987,0.014354141,0.022956436,open,0.41360816053671295,0.012135294941713707,0.4297897027552815,0.9997685983007895,-0.006903956484522974,0.008325944155187028,0.018464841268261967,0.07953087240457535,0.021234810536712945,-0.017231358058286295,-0.0035963972447184966,0.02758207664779398,0.0005022983007894055,-0.033902656484522974,-0.006028196844812973,-0.004491594731738033,0.06946317324505709
1751555905.2728455,0.755831241607666,14,0.39195296,0.03802281,0.43340185,0.99890697,0.03537868,0.01478094,0.026644835,open,0.4113529671889484,0.012734362884699781,0.4299523639609434,0.9997854671796914,-0.0032994228686828594,0.007174765185542636,0.01902216652395763,0.07953087240457535,0.01940000718894841,-0.025288447115300216,-0.003449486039056593,0.03205877088049746,0.000878497179691462,-0.03867810286868286,-0.007606174814457363,-0.007622668476042368,0.08032312002336396
1751555905.3227987,0.8057844638824463,15,0.39117646,0.047469705,0.43270183,0.9983949,0.04493415,0.014617987,0.03114461,open,0.40941650010520425,0.01397877705235171,0.4301731139357365,0.9997859364029775,0.0017747836222951497,0.006110282081203993,0.01956483206597777,0.07953087240457535,0.018240040105204247,-0.03349092794764829,-0.0025287160642635254,0.03821957250896055,0.0013910364029775524,-0.04315936637770485,-0.008507704918796008,-0.01157977793402223,0.09102759559247071
1751555905.3732967,0.8562824726104736,16,0.39007935,0.057926342,0.43182924,0.99780434,0.053652555,0.014597809,0.035916477,open,0.407753212236594,0.016171849056809247,0.4305021882237674,0.999748250807813,0.007885108962634429,0.005078371459265544,0.02026466405847061,0.07953087240457535,0.017673862236594007,-0.04175449294319075,-0.0013270517762326017,0.04536038088153441,0.0019439108078130873,-0.04576744603736557,-0.009519437540734456,-0.015651812941529394,0.09868216531220957
1751555905.4237854,0.906771183013916,17,0.38861245,0.06974484,0.4307101,0.99737144,0.059185643,0.014734925,0.03905603,open,0.4063436390655535,0.019279645926574454,0.4308321099474283,0.9996616444169846,0.014292740960260553,0.004291395490485175,0.02119159928624834,0.07953087240457535,0.017731189065553488,-0.05046519407342555,0.00012200994742833648,0.05348967905095506,0.002290204416984576,-0.044892902039739446,-0.010443529509514824,-0.01786443071375166,0.0989815038270934
1751555905.4741817,0.957167387008667,18,0.38648322,0.08367012,0.4289991,0.9973658,0.060720533,0.0140860975,0.037030365,open,0.4050656446704361,0.023537087808078328,0.43099902822972025,0.9995146983408705,0.021266939578831506,0.0035178489137575792,0.022380668970491395,0.07953152805566788,0.018582424670436082,-0.060133032191921676,0.001999928229720227,0.06297053104549105,0.0021488983408705087,-0.0394535934211685,-0.010568248586242421,-0.014649696029508608,0.08689790153826682
1751555905.5237536,1.0067393779754639,19,0.38361353,0.09922287,0.4265294,0.9977484,0.058666896,0.0118890945,0.030168865,open,0.40392213169050234,0.028696134066275657,0.4310620812922756,0.9993334276700763,0.027474389626614863,0.0026418256136325436,0.02379205912141541,0.07953152805566788,0.02030860169050236,-0.07052673593372435,0.0045326812922755755,0.07353233971380284,0.0015850276700762889,-0.03119250637338514,-0.009247268886367458,-0.00637680587858459,0.06638574729030827
1751555905.5745146,1.0575003623962402,20,0.38052434,0.11492345,0.42347035,0.99823207,0.054674495,0.008678441,0.021524958,open,0.4027314517055322,0.035275545620740145,0.43091600013796816,0.9990667771078207,0.03489641891140446,0.0015896823355265838,0.025307480442203732,0.07953152805566788,0.02220711170553219,-0.07964790437925985,0.007445650137968163,0.08302037212809113,0.0008347071078206314,-0.01977807608859554,-0.007088758664473416,0.003782522442203732,0.04272922002119046
1751555905.6247072,1.1076929569244385,21,0.3774556,0.13042559,0.4196859,0.9986016,0.050565455,0.0050253044,0.014418862,open,0.40147880074681197,0.042889931353696314,0.4305508294257303,0.9987050211659458,0.04334817366126,0.00048413559200411013,0.02653600921415709,0.07953152805566788,0.024023200746811968,-0.0875356586463037,0.010864929425730308,0.09142019689428552,0.0001034211659458606,-0.00721728133874,-0.00454116880799589,0.012117147214157091,0.029634600872608226
1751555905.6754198,1.1584055423736572,22,0.37539032,0.14430769,0.41571057,0.9987899,0.047795232,0.0031889144,0.0109234685,open,0.40003364291082316,0.051815569814562534,0.42992009585404123,0.9982473195588973,0.05222413303545011,-0.000700835101309807,0.027741868730657673,0.07953087240457535,0.024643322910823162,-0.09249212018543745,0.014209525854041227,0.09676774403426575,-0.0005425804411026691,0.004428901035450107,-0.0038897495013098067,0.01681840023065767,0.03565996394553379
1751555905.7258568,1.2088425159454346,23,0.37415618,0.15685852,0.41148227,0.99886125,0.04624665,0.0032055872,0.0110631855,open,0.3984509038114902,0.0616816535623757,0.4289752583646505,0.9978997424430813,0.058430534400351,-0.001750173423541056,0.027822361048362432,0.07953087240457535,0.02429472381149017,-0.0951768664376243,0.01749298836465052,0.09977411564071996,-0.0009615075569187059,0.012183884400351001,-0.004955760623541056,0.016759175548362433,0.04265304153035127
1751555905.7758706,1.2588562965393066,24,0.37421167,0.16834436,0.40703797,0.9988424,0.045287002,0.0062755453,0.014788364,open,0.39662949828247707,0.0724507008925162,0.4277134311245519,0.9978135043318882,0.06031709415003585,-0.0025931929065273426,0.02680490982028293,0.07953087240457535,0.02241782828247707,-0.09589365910748379,0.020675461124551875,0.10062617738261646,-0.0010288956681118178,0.015030092150035854,-0.008868738206527343,0.01201654582028293,0.042427974121213824
